,teamname,bcs,team,opponent,line,overunder,ownscore,opponentscore,vseteamname,date,day,month,year,season,realspread,win,tie,week
10,Air Force,,42,41,-26.0,,48,6,,1985-08-31,31.0,8.0,1985.0,1985,42.0,1.0,0.0,1
4,Air Force,,42,87,-8.0,,49,7,,1985-09-14,14.0,9.0,1985.0,1985,42.0,1.0,0.0,2
3,Air Force,,42,98,-24.0,,59,17,,1985-09-21,21.0,9.0,1985.0,1985,42.0,1.0,0.0,3
9,Air Force,,42,63,-18.0,,49,12,,1985-09-28,28.0,9.0,1985.0,1985,37.0,1.0,0.0,4
1,Air Force,,42,102,-4.5,44.5,21,15,,1985-10-05,5.0,10.0,1985.0,1985,6.0,1.0,0.0,5
11,Air Force,,42,66,-7.5,,24,7,,1985-10-12,12.0,10.0,1985.0,1985,17.0,1.0,0.0,6
5,Air Force,,42,89,-23.0,,35,19,,1985-10-19,19.0,10.0,1985.0,1985,16.0,1.0,0.0,7
2,Air Force,,42,93,-13.0,,37,15,,1985-10-26,26.0,10.0,1985.0,1985,22.0,1.0,0.0,8
6,Air Force,,42,132,-19.5,,31,10,,1985-11-02,2.0,11.0,1985.0,1985,21.0,1.0,0.0,9
0,Air Force,,42,127,-12.5,,45,7,,1985-11-09,9.0,11.0,1985.0,1985,38.0,1.0,0.0,10
7,Air Force,,42,33,1.5,,21,28,,1985-11-16,16.0,11.0,1985.0,1985,-7.0,0.0,0.0,11
12,Air Force,,42,50,-15.5,,27,20,,1985-11-23,23.0,11.0,1985.0,1985,7.0,1.0,0.0,12
23,Air Force,,42,50,-11.5,,24,17,,1986-08-30,30.0,8.0,1986.0,1986,7.0,1.0,0.0,1
21,Air Force,,42,41,-15.0,,23,21,,1986-09-06,6.0,9.0,1986.0,1986,2.0,1.0,0.0,2
16,Air Force,,42,87,-12.0,,17,23,,1986-09-20,20.0,9.0,1986.0,1986,-6.0,0.0,0.0,3
18,Air Force,,42,89,-4.5,,24,7,,1986-09-27,27.0,9.0,1986.0,1986,17.0,1.0,0.0,4
20,Air Force,,42,93,-7.5,,45,35,,1986-10-03,3.0,10.0,1986.0,1986,10.0,1.0,0.0,5
