,school,teamname,year_of_pub,acceptance_rate,top10pct,alumni_giving_rate,top25pct,usnews_score,usnews_academic_rep_old,sat_act_25_75,avg_sat_act,usnews_academic_rep_new,year,team,unitid,vseteamname,alumni_ops_academic,alumni_ops_faculty,alumni_ops_research,alumni_ops_libraries,alumni_ops_physical_plant,alumni_ops_student_aid,alumni_ops_athletics,alumni_ops_other,alumni_ops_total,alumni_donation_rate,alumni_ugrad_donation_rate,alumni_ops_donation_rate,alumni_solicit_rate,alumni_giving_as_share_of_total,alumni_of_record,alumni_donors,alumni_total_giving,ops_athletics_donors,ops_athletics_total_ath,capital_athletics_donors,capital_athletics_total,athletics_donors,athletics_total,corporations_total_giving,expenditures_per_student,foundations_total_giving,foundations_ops_athletics,foundations_ops_total,corporations_ops_athletics,corporations_ops_total,ops_athletics_total_grand,ops_total,total_giving_2004_onwards,total_giving_pre_2004,alumni_ops_pub_serv,corporations_total,foundations_total,appdate,applicants_male,applicants_female,admits_male,admits_female,enrolled_male,enrolled_female,satdate,satnum,satpct,actnum,actpct,satvr25,satvr75,satmt25,satmt75,actcm25,actcm75,acten25,acten75,actmt25,actmt75,name,city,state,fips,control,iclevel,black,asian,hispanic,vse_alum_giving_rate,first_time_students_missing,first_time_students_total,first_time_outofstate,first_time_instate
0,U. of Akron,Akron,1990.0,79.0,,,,,,,,,1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"UNIVERSITY OF AKRON, MAIN CAMPUS",AKRON,OH,Ohio,Public,4 or more years (Baccalaureate or higher degree),,,,,,,,
1,U. of Akron,Akron,1991.0,77.0,,,,,,724-1074,,,1989,124.0,200800.0,"University of Akron (Akron, OH)",,,,,,,,,,,,,0.9908492160634144,,68628.0,9749.0,1802521.0,,,,,,,2621438.0,,1486670.0,,,,,,,,7723177.0,,2621438.0,1486670.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14205572,,,,
2,,Akron,,,,,,,,,,,1990,124.0,200800.0,"University of Akron (Akron, OH)",,,,,,,,,,,,,1.0,,70000.0,10436.0,1505447.0,,,,,,,4084436.0,,422482.0,,,,,,,,8512164.0,,4084436.0,422482.0,,,,,,,,,,,,,,,,,,,,,,,UNIVERSITY OF AKRON MAIN CAMPUS,AKRON,OH,Ohio,Public,4 or more years (Baccalaureate or higher degree),,,,0.14908572,,,,
3,U. of Akron,Akron,1993.0,95.0,,16.0,,,,748-1074,,,1991,124.0,200800.0,"University of Akron (Akron, OH)",,,,,,,,,,,,,0.7887323943661971,,71000.0,12250.0,1789551.0,,,,,,,4017577.0,,922911.0,,,,,,,,8131367.0,,4017577.0,922911.0,,,,,,,,,,,,,,,,,,,,,,,UNIVERSITY OF AKRON MAIN CAMPUS,AKRON,OH,Ohio,Public,4 or more years (Baccalaureate or higher degree),,,,0.17253521,,3453.0,80.0,3373.0
4,University of Akron,Akron,1994.0,82.0,,18.0,,,207.0,,911,,1992,124.0,200800.0,"University of Akron (Akron, OH)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNIVERSITY OF AKRON MAIN CAMPUS,AKRON,OH,Ohio,Public,4 or more years (Baccalaureate or higher degree),,,,,,,,
5,U. of Akron,Akron,1996.0,95.0,16.0,15.0,,,,19-24,,,1994,124.0,200800.0,"University of Akron (Akron, OH)",,,,,,,,,,,,,1.0,,55000.0,11591.0,5549000.0,,,,,,,4010000.0,,1400000.0,,,,,,,,12599000.0,,4010000.0,1400000.0,,,,,,,,,,,,,,,,,,,,,,,UNIVERSITY OF AKRON MAIN CAMPUS,AKRON,OH,Ohio,Public,4 or more years (Baccalaureate or higher degree),10.0,1.0,1.0,0.21074545,,,,
6,Univ of Akron,Akron,1997.0,61.0,10.0,14.0,,,,,,,1995,124.0,200800.0,"University of Akron (Akron, OH)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNIVERSITY OF AKRON MAIN CAMPUS,AKRON,OH,Ohio,Public,4 or more years (Baccalaureate or higher degree),11.0,2.0,1.0,,,2900.0,86.0,2814.0
7,Univ of Akron,Akron,1998.0,100.0,11.0,14.0,,,,17-23,,2.2,1996,124.0,200800.0,"University of Akron (Akron, OH)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNIVERSITY OF AKRON MAIN CAMPUS,AKRON,OH,Ohio,Public,4 or more years (Baccalaureate or higher degree),12.0,2.0,1.0,,,,,
8,University of Akron,Akron,1999.0,100.0,13.0,12.0,,,,,,2.2,1997,124.0,200800.0,"University of Akron (Akron, OH)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNIVERSITY OF AKRON MAIN CAMPUS,AKRON,OH,Ohio,Public,4 or more years (Baccalaureate or higher degree),12.0,2.0,1.0,,,3054.0,69.0,2985.0
9,University of Akron,Akron,2000.0,100.0,13.0,11.0,,,,17-24,,,1998,124.0,200800.0,"University of Akron (Akron, OH)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
